antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedent_names,consequent_names
"frozenset({'SKU00086', 'SKU00022'})",frozenset({'SKU00060'}),0.012744349673094155,0.438949918688394,0.012644784441273108,0.9921875,2.260366064002722,1.0,0.007050653188531967,71.81441040788556,0.5647916854713596,0.02880036283921687,0.9860752181307305,0.5104971977544231,"['TZ 00 (with Silver) 0.45g', 'Pulse Kachha Aam 175 Candy']",['Rajnigandha 4g ']
"frozenset({'SKU00086', 'SKU669'})",frozenset({'SKU00060'}),0.010487537751817065,0.438949918688394,0.010387972519996017,0.9905063291139241,2.256536080639018,1.0,0.005784468676594454,59.09727523148953,0.5627446998771445,0.023660140600196538,0.9830787460829133,0.5070859182239815,"['TZ 00 (with Silver) 0.45g', 'Alpenliebe Creamfills Butter Toffee']",['Rajnigandha 4g ']
"frozenset({'SKU101', 'SKU00084', 'SKU00060'})",frozenset({'SKU00086'}),0.026152467558328632,0.43370614981248545,0.02558826457800936,0.9784263959390863,2.2559661567218097,1.0,0.014245778565190716,26.249385526338934,0.5716818294713898,0.05892243026366068,0.9619038701307279,0.5187127388327204,"['Rajnigandha 17g Zipper IC ', 'TZ 00 4.25g (6 Pcs)', 'Rajnigandha 4g ']",['TZ 00 (with Silver) 0.45g']
"frozenset({'SKU00086', 'SKU00084', 'SKU00033'})",frozenset({'SKU00060'}),0.013308552653413429,0.438949918688394,0.013175799010985364,0.9900249376558603,2.2554393918424864,1.0,0.007334010905909329,56.24527065148824,0.5641352355922021,0.030007558578987154,0.9822207273888629,0.5100207857793894,"['TZ 00 (with Silver) 0.45g', 'TZ 00 4.25g (6 Pcs)', 'Rajnigandha 100g ']",['Rajnigandha 4g ']
"frozenset({'SKU101', 'SKU00084', 'SKU00086'})",frozenset({'SKU00060'}),0.025886960273472502,0.438949918688394,0.02558826457800936,0.9884615384615385,2.2518777117332993,1.0,0.014225185470878919,48.624340380339355,0.5706998362897903,0.05825462788061957,0.9794341683161559,0.5233779036629483,"['Rajnigandha 17g Zipper IC ', 'TZ 00 4.25g (6 Pcs)', 'TZ 00 (with Silver) 0.45g']",['Rajnigandha 4g ']
"frozenset({'SKU101', 'SKU00060'})",frozenset({'SKU00086'}),0.036407686435896584,0.43370614981248545,0.03554478776011417,0.9762989972652689,2.251060995301486,1.0,0.019754550252421208,23.893244371373214,0.5767636668223809,0.08179318771956622,0.958147165598067,0.5291274600651413,"['Rajnigandha 17g Zipper IC ', 'Rajnigandha 4g ']",['TZ 00 (with Silver) 0.45g']
"frozenset({'SKU00086', 'SKU00084'})",frozenset({'SKU00060'}),0.0699943579701968,0.438949918688394,0.06899870565198632,0.9857752489331436,2.2457579030398116,1.0,0.03827468791232209,39.44182071620573,0.5964652283615954,0.15683464091732044,0.9746462008639192,0.5714828157564553,"['TZ 00 (with Silver) 0.45g', 'TZ 00 4.25g (6 Pcs)']",['Rajnigandha 4g ']
"frozenset({'SKU00086', 'SKU00033'})",frozenset({'SKU00060'}),0.022800438087020012,0.438949918688394,0.02246855398094985,0.9854439592430859,2.245003170720809,1.0,0.012460303536592655,38.54414058610743,0.567505709458829,0.05114838319734059,0.9740557193702113,0.5183155075211346,"['TZ 00 (with Silver) 0.45g', 'Rajnigandha 100g ']",['Rajnigandha 4g ']
"frozenset({'SKU00084', 'SKU00060', 'SKU00033'})",frozenset({'SKU00086'}),0.01354087152766254,0.43370614981248545,0.013175799010985364,0.9730392156862745,2.2435448888768854,1.0,0.007303039755617336,21.004353716045983,0.5618852187761203,0.030354002599587128,0.9523908227066247,0.5017093843965502,"['TZ 00 4.25g (6 Pcs)', 'Rajnigandha 4g ', 'Rajnigandha 100g ']",['TZ 00 (with Silver) 0.45g']
"frozenset({'SKU613', 'SKU00060'})",frozenset({'SKU00086'}),0.015565364574690517,0.43370614981248545,0.015133915236799309,0.9722814498933902,2.241797701770565,1.0,0.008383120896682628,20.43013967214954,0.5626878621947626,0.0348597202048773,0.9510527085939013,0.5035879242120762,"['Center Fresh', 'Rajnigandha 4g ']",['TZ 00 (with Silver) 0.45g']
"frozenset({'SKU00086', 'SKU00010'})",frozenset({'SKU00060'}),0.020610002986956956,0.438949918688394,0.020278118880886795,0.9838969404186796,2.2414788077843064,1.0,0.011231359745594482,34.841210049450815,0.5655213550734001,0.04616198247204594,0.97129835621149,0.5150469126711574,"['TZ 00 (with Silver) 0.45g', 'Pass Pass Meetha Magic 11.75g Hanger']",['Rajnigandha 4g ']
"frozenset({'SKU101', 'SKU00086'})",frozenset({'SKU00060'}),0.03617536756164747,0.438949918688394,0.03554478776011417,0.9825688073394495,2.238453102521167,1.0,0.019665613110406245,32.18655729629734,0.5740286174499873,0.08086070215175538,0.9689311288935201,0.5317728355463315,"['Rajnigandha 17g Zipper IC ', 'TZ 00 (with Silver) 0.45g']",['Rajnigandha 4g ']
"frozenset({'SKUPM4', 'SKU00086', 'SKU00084'})",frozenset({'SKU00060'}),0.01496797318376423,0.438949918688394,0.014702465898908102,0.9822616407982262,2.2377533266967604,1.0,0.008132275286964731,31.629198333941847,0.5615281589018758,0.03347438416200695,0.9683836438267588,0.5078781362920513,"['Rajnigandha 17g Zipper 1 Pcs', 'TZ 00 (with Silver) 0.45g', 'TZ 00 4.25g (6 Pcs)']",['Rajnigandha 4g ']
"frozenset({'SKU00084', 'SKU00060'})",frozenset({'SKU00086'}),0.07112276393083536,0.43370614981248545,0.06899870565198632,0.9701353243117123,2.236849361557714,1.0,0.0381523255435214,18.961995639872423,0.5952806304742849,0.1583155650319829,0.9472629348201491,0.5646131167013108,"['TZ 00 4.25g (6 Pcs)', 'Rajnigandha 4g ']",['TZ 00 (with Silver) 0.45g']
"frozenset({'SKU00060', 'SKU00010'})",frozenset({'SKU00086'}),0.0209086986824201,0.43370614981248545,0.020278118880886795,0.9698412698412698,2.236171357636004,1.0,0.011209887677744987,18.77711187463864,0.5646123899042841,0.04668755253304807,0.9467436735384928,0.5082983514801697,"['Rajnigandha 4g ', 'Pass Pass Meetha Magic 11.75g Hanger']",['TZ 00 (with Silver) 0.45g']
"frozenset({'SKUPM4', 'SKU00084', 'SKU00060'})",frozenset({'SKU00086'}),0.015167103647406326,0.43370614981248545,0.014702465898908102,0.9693654266958425,2.235074202002788,1.0,0.008124399772184598,18.485449252549593,0.5610977893561502,0.03386332365081792,0.9459033975134753,0.5016325143886313,"['Rajnigandha 17g Zipper 1 Pcs', 'TZ 00 4.25g (6 Pcs)', 'Rajnigandha 4g ']",['TZ 00 (with Silver) 0.45g']
"frozenset({'SKU00086', 'SKU080'})",frozenset({'SKU00060'}),0.022169858285486708,0.438949918688394,0.021705220536988482,0.9790419161676647,2.230418265238765,1.0,0.011973763045240874,26.7701038797252,0.5641609685957643,0.04939577039274924,0.9626448965423191,0.5142449865126846,"['TZ 00 (with Silver) 0.45g', 'Pass Pass Meetha Magic 2.2g (100 pcs)']",['Rajnigandha 4g ']
"frozenset({'SKU612', 'SKU00086'})",frozenset({'SKU00060'}),0.010487537751817065,0.438949918688394,0.010255218877567954,0.9778481012658229,2.227698558841714,1.0,0.005651715034166391,25.32740367063833,0.5569472371968022,0.02335071412378146,0.960517074193464,0.5006055870006719,"['Center Fruit', 'TZ 00 (with Silver) 0.45g']",['Rajnigandha 4g ']
"frozenset({'SKU00303', 'SKU00060'})",frozenset({'SKU00086'}),0.02741362716139524,0.43370614981248545,0.026484351664398793,0.9661016949152543,2.227548987564396,1.0,0.014594892975835088,16.705668580531725,0.566608895554019,0.06093463653023824,0.940140079088761,0.5135834461720441,"['RG Pearl Elaichi 1.4g Hanger', 'Rajnigandha 4g ']",['TZ 00 (with Silver) 0.45g']
"frozenset({'SKU669', 'SKU00060'})",frozenset({'SKU00086'}),0.010753045036673193,0.43370614981248545,0.010387972519996017,0.9660493827160495,2.2274283708767437,1.0,0.00572431075838023,16.679927950977735,0.5570416752459995,0.023931493233427633,0.9400477026676016,0.49500051015202534,"['Alpenliebe Creamfills Butter Toffee', 'Rajnigandha 4g ']",['TZ 00 (with Silver) 0.45g']
"frozenset({'SKUPM4', 'SKU00060'})",frozenset({'SKU00086'}),0.03594304868739836,0.43370614981248545,0.03468188908433175,0.9649122807017544,2.2248065449819836,1.0,0.0190931678255975,16.139374730344166,0.5710479206830076,0.07973447276056768,0.9380397309866121,0.5224393053340421,"['Rajnigandha 17g Zipper 1 Pcs', 'Rajnigandha 4g ']",['TZ 00 (with Silver) 0.45g']
